,model_number,AUC,PublicLB,n_features,model_type,n_fold,n_estimators,early_stopping_rounds,random_state,n_threads,learning_rate,eval_metric,AUC_f1,AUC_f2,AUC_f3,AUC_f4,AUC_f5,avg_best_iteration,training_time,depth,shuffle,fe,av_threshold
0920_1013,M027,0.9391933574750102,,751.0,lightgbm,5.0,100000.0,100.0,529.0,48.0,0.005,auc,0.9242952415292088,0.9395082657509992,0.9387373773698529,0.9546362767517558,0.9345887479676999,1946.0,5201.0,14.0,False,FE007,
0920_1512,M028,0.9425319675714664,0.9456,772.0,lightgbm,5.0,100000.0,100.0,529.0,48.0,0.005,auc,0.9289587158763016,0.9431735657997424,0.942088452921775,0.9575347241424006,0.937759929980748,2138.0,5592.0,14.0,False,FE008,
0920_1659,M029,0.9412949462365828,,770.0,lightgbm,5.0,100000.0,100.0,529.0,48.0,0.005,auc,0.9273387276319603,0.9421773090427018,0.9404489124304496,0.9569971885695848,0.9365601797876328,2279.0,5641.0,14.0,False,FE008,
0921_1058,M030,0.9421041543764088,,910.0,lightgbm,5.0,100000.0,100.0,529.0,58.0,0.005,auc,0.9290114927016164,0.9426507484785998,0.9416319577888153,0.9580269904038292,0.9381086436420312,2217.0,6927.0,14.0,False,FE009,
0921_1806,M031,0.9440203669428264,0.9494,1101.0,lightgbm,5.0,100000.0,100.0,529.0,58.0,0.005,auc,0.9294393367503152,0.9457928882394988,0.9440168851252538,0.9594761147363472,0.9394319453163124,2538.0,10353.0,-1.0,False,FE010,
0921_2200,M032,0.9406652136697544,,436.0,lightgbm,5.0,100000.0,100.0,529.0,58.0,0.005,auc,0.9271949373340732,0.9431206277710218,0.9435306080375852,0.9586634015208474,0.93741551428762,2213.0,4904.0,-1.0,False,FE010,
0921_2348,M033,0.9432365364377844,,606.0,lightgbm,5.0,100000.0,100.0,529.0,58.0,0.005,auc,0.9295696182190636,0.9464140792214906,0.9443651302596135,0.9596126162993136,0.9391038455043046,2395.0,6924.0,-1.0,False,FE010,
0922_1304,M034,0.9452860331563312,,676.0,lightgbm,5.0,100000.0,100.0,529.0,58.0,0.005,auc,0.9287678610755328,0.9473861009076032,0.9446824496596996,0.9603275182991078,0.9394323574206888,2380.0,7102.0,-1.0,False,FE011,
0922_2235,M035,0.9495589197508668,,753.0,lightgbm,5.0,100000.0,100.0,529.0,58.0,0.005,auc,0.9361494585669876,0.9526046356363518,0.9502243714246214,0.9639849885962172,0.9432232732144826,2432.0,8002.0,-1.0,False,FE012,
0923_1308,M036,0.9498502573862264,,1092.0,lightgbm,5.0,100000.0,100.0,529.0,58.0,0.005,auc,0.9367768870483728,0.9525065024249836,0.9513295305575206,0.963992293673142,0.9432784218420186,2322.0,9113.0,-1.0,False,FE013,
0924_1701,M037,0.9286911507700047,,395.0,lightgbm,5.0,100000.0,100.0,529.0,58.0,0.005,auc,0.9118505004982826,0.9322314704187344,0.9319217448659092,0.9458470395961748,0.9207364990895212,1313.0,1614.0,-1.0,False,FE013,
0924_1742,M038,0.9507651066365772,,1148.0,lightgbm,5.0,100000.0,100.0,529.0,58.0,0.005,auc,0.9385844457382962,0.954171784699104,0.9513353844848764,0.9643840563690386,0.9456677620213996,2430.0,10566.0,-1.0,False,FE013,
0924_2350,M039,0.9398314992054596,,1148.0,catboost,5.0,100000.0,100.0,529.0,58.0,0.05,AUC,0.92968619441126,0.94253357129556,0.9437023040446468,0.9551753524480352,0.931995273719468,671.0,4309.0,14.0,False,FE013,
0925_2242,M041,0.9513549977324612,,1076.0,lightgbm,5.0,100000.0,100.0,529.0,58.0,0.005,auc,0.9365150748281088,0.9534222831639256,0.9525518556095854,0.9647853961105926,0.9456899789782754,2272.0,11941.0,-1.0,False,FE013,
0927_0814,M042,0.949239146742008,,947.0,lightgbm,5.0,100000.0,100.0,529.0,58.0,0.005,auc,0.9339132669692226,0.9521105902391318,0.9514423417742808,0.9634329021050692,0.944560741785806,1764.0,6639.0,-1.0,False,FE013,0.6
0927_1007,M043,0.949363605607656,,1049.0,lightgbm,5.0,100000.0,100.0,529.0,58.0,0.005,auc,0.9356070733985121,0.9531191732939762,0.9502641733648926,0.9638442641140759,0.9454930211353706,2154.0,8980.0,-1.0,False,FE013,0.7
0927_2044,M044,0.9517599920237094,,1089.0,lightgbm,5.0,100000.0,100.0,529.0,58.0,0.005,auc,0.9373547217664336,0.953161622879064,0.952042657258868,0.9644998255007632,0.9462774197422628,2232.0,9362.0,-1.0,False,FE013,0.8
0928_2107,M047,,,,lightgbm,1.0,2500.0,100.0,529.0,58.0,0.005,auc,,,,,,,,-1.0,False,FE013,0.6
